"","Species","SE.m1.md","SE.m2.md","SE.m3.md","SE.m1.bl","SE.m2.bl","SE.m3.bl","m1.md","m2.md","m3.md","m1.bl","m2.bl","m3.bl","n"
"90","Nasalis_larvatus",0.0106864761014067,0.0124797712413442,0.0168318613034976,0.0100070735651144,0.0128805798365509,0.0123539740864947,2.01044903226984,2.1016667312367,2.34762870986996,1.75542227767528,1.86469123224719,1.86270637576368,15
"91","Piliocolobus_badius",0.00751763790565934,0.00737205215759403,0.00804537430706593,0.00672384865186991,0.0076510197321154,0.00753670461693556,1.97785674458553,2.0280319383085,2.2416762958922,1.70257088846747,1.78881558229261,1.76849753853469,46
"92","Piliocolobus_kirkii",0.00865267400948628,0.0102979702448748,0.0109238891626017,0.0158674558428452,0.0128108286122045,0.0167508400531352,1.83902110563691,1.88115157135494,2.0828081177121,1.56128552077604,1.64836856094937,1.64340335653765,11
"93","Presbytis_comata",0.00976458503689796,0.0101783259977188,0.0168872546033779,0.0110934409100384,0.00822499540855024,0.0106169312335987,1.79220762035718,1.7932542861415,1.87580694317527,1.61985034804952,1.70362437089793,1.60984400579383,15
"94","Presbytis_melalophos",0.00897279683870512,0.00859399159359291,0.00956469702883709,0.00841042520355367,0.00996156808515991,0.0114433734797084,1.73839373386414,1.74916115910133,1.76275003562885,1.58255135421053,1.62426876397368,1.49079726498211,31
"95","Procolobus_verus",0.00537006888950927,0.00591507078066895,0.0115133164043908,0.00672281855600355,0.00565538129266602,0.00732182742850876,1.69954446144816,1.72163183558844,1.93908238999108,1.46006858564485,1.57743009833602,1.54019052965373,46
"96","Pygathrix_nemaeus",0.0231011593380826,0.027055240774029,0.0243007757121488,0.011182021405465,0.00520799677425104,0.00527260316441502,1.90465666021628,1.95403978779534,2.16445825230389,1.66421250462017,1.77618190672228,1.74392725164484,4
"97","Rhinopithecus_avunculus",0.138107923035582,0.0246206969000527,0.101729925386322,0.0434785817833189,0.0276370256992624,0.0265023798761085,1.72120186013008,1.98589599587348,2.16261517989531,1.76851580554392,1.92687978123331,1.92062466951991,3
"98","Rhinopithecus_bieti",0.00793667457814506,0.0285792069199744,0.0106432285989055,0.00914659652366279,0.0166793317486548,0.0166793317486548,2.02283969512041,2.16864537041624,2.46337098002267,1.88094877342525,2.0140970379499,2.0140970379499,2
"99","Rhinopithecus_roxellana",0.0285245037107926,0.0256171931375189,0.0121264333697419,0.00943655199503502,0.022662722580377,0.0286177293625927,2.02595522594974,2.18926806782109,2.37066984859188,1.89048001724498,2.01845894470829,1.98425261393216,4
"100","Trachypithecus_cristatus",0.005726641517267,0.00755219434057778,0.0128331096914656,0.00647134946470958,0.00715724350179654,0.00998369523627405,1.93508128523127,2.00929003030466,2.15883048881628,1.70175111282986,1.84217090227925,1.77863681480238,40
"101","Trachypithecus_francoisi",0.010616120229015,0.0123957438363233,0.0145195340181445,0.0147185340857549,0.0212532213702691,0.00645719942222873,1.88155463068061,1.91679026588262,2.11914908584521,1.69065521096761,1.74950309402903,1.67833301748122,9
"102","Trachypithecus_johnii",0.104466347567065,0.0467722753507138,0.0270154608237574,0.029004911260097,0.0281237313739832,0.0287318886375817,1.79566935120959,1.90110603949042,2.01838639067534,1.63174563760409,1.7681868238444,1.78248840508291,6
"103","Trachypithecus_obscurus",0.00705722795691974,0.00709463865738447,0.00812079732506568,0.00695861846161041,0.00836104023204992,0.00918807529249647,1.83582492546063,1.89768669946597,2.04725991231077,1.58297059552988,1.70658254784022,1.60994655259433,45
"104","Trachypithecus_pileatus",0.0149345931526046,0.0134747031165048,0.0231101636405379,0.0108019899128117,0.0123027733587733,0.00973226197694462,1.9248291175117,1.96752953333788,2.11487600117264,1.74139066170879,1.83425406319856,1.77294625618697,13
"105","Trachypithecus_vetulus",0.00640045000185294,0.0066198497842142,0.00833763796567443,0.00774348828690445,0.00767740547041418,0.00864991380472839,1.87356289263966,1.91804379342137,2.13142379950261,1.6053402149404,1.7353315587752,1.68465268542802,45
